id,recommended_course_id,course_language,,,,,,,,,,,,,,,,,,,,,,,
1,2767052,eng,,,,,,,,,,,,,,,,,,,,,,,
2,3,eng,,,,,,,,,,,,,,,,,,,,,,,
3,41865,Arabic,,,,,,,,,,,,,,,,,,,,,,,
4,2657,French,,,,,,,,,,,,,,,,,,,,,,,
5,4671,eng,,,,,,,,,,,,,,,,,,,,,,,
6,11870085,eng,,,,,,,,,,,,,,,,,,,,,,,
7,5907,en-US,,,,,,,,,,,,,,,,,,,,,,,
8,5107,eng,,,,,,,,,,,,,,,,,,,,,,,
9,960,en-CA,,,,,,,,,,,,,,,,,,,,,,,
10,1885,eng,,,,,,,,,,,,,,,,,,,,,,,
11,77203,eng,,,,,,,,,,,,,,,,,,,,,,,
12,13335037,eng,,,,,,,,,,,,,,,,,,,,,,,
13,5470,eng,,,,,,,,,,,,,,,,,,,,,,,
14,7613,eng,,,,,,,,,,,,,,,,,,,,,,,
15,48855,eng,,,,,,,,,,,,,,,,,,,,,,,
16,2429135,Arabic,,,,,,,,,,,,,,,,,,,,,,,
17,6148028,eng,,,,,,,,,,,,,,,,,,,,,,,
18,5,eng,,,,,,,,,,,,,,,,,,,,,,,
19,34,eng,,,,,,,,,,,,,,,,,,,,,,,
20,7260188,eng,,,,,,,,,,,,,,,,,,,,,,,
21,2,eng,,,,,,,,,,,,,,,,,,,,,,,
22,12232938,eng,,,,,,,,,,,,,,,,,,,,,,,
23,15881,eng,,,,,,,,,,,,,,,,,,,,,,,
24,6,eng,,,,,,,,,,,,,,,,,,,,,,,
25,136251,eng,,,,,,,,,,,,,,,,,,,,,,,
26,968,eng,,,,,,,,,,,,,,,,,,,,,,,
27,1,eng,,,,,,,,,,,,,,,,,,,,,,,
28,7624,eng,,,,,,,,,,,,,,,,,,,,,,,
29,18135,eng,,,,,,,,,,,,,,,,,,,,,,,
30,19288043,eng,,,,,,,,,,,,,,,,,,,,,,,
31,4667024,eng,,,,,,,,,,,,,,,,,,,,,,,
32,890,eng,,,,,,,,,,,,,,,,,,,,,,,
33,929,eng,,,,,,,,,,,,,,,,,,,,,,,
34,10818853,eng,,,,,,,,,,,,,,,,,,,,,,,
35,865,eng,,,,,,,,,,,,,,,,,,,,,,,
36,3636,eng,,,,,,,,,,,,,,,,,,,,,,,
37,100915,eng,,,,,,,,,,,,,,,,,,,,,,,
38,18619684,eng,,,,,,,,,,,,,,,,,,,,,,,
39,13496,eng,,,,,,,,,,,,,,,,,,,,,,,
40,19501,eng,,,,,,,,,,,,,,,,,,,,,,,
41,28187,eng,,,,,,,,,,,,,,,,,,,,,,,
42,1934,en-US,,,,,,,,,,,,,,,,,,,,,,,
43,10210,eng,,,,,,,,,,,,,,,,,,,,,,,
44,15931,eng,,,,,,,,,,,,,,,,,,,,,,,
45,4214,,,,,,,,,,,,,,,,,,,,,,,,
46,43641,eng,,,,,,,,,,,,,,,,,,,,,,,
47,19063,eng,,,,,,,,,,,,,,,,,,,,,,,
48,4381,spa,,,,,,,,,,,,,,,,,,,,,,,
49,49041,eng,,,,,,,,,,,,,,,,,,,,,,,
50,30119,eng,,,,,,,,,,,,,,,,,,,,,,,
51,256683,eng,,,,,,,,,,,,,,,,,,,,,,,
52,428263,en-US,,,,,,,,,,,,,,,,,,,,,,,
53,113436,en-US,,,,,,,,,,,,,,,,,,,,,,,
54,386162,en-US,,,,,,,,,,,,,,,,,,,,,,,
55,5129,eng,,,,,,,,,,,,,,,,,,,,,,,
56,1162543,en-US,,,,,,,,,,,,,,,,,,,,,,,
57,37435,en-US,,,,,,,,,,,,,,,,,,,,,,,
58,2956,eng,,,,,,,,,,,,,,,,,,,,,,,
59,24178,eng,,,,,,,,,,,,,,,,,,,,,,,
60,1618,eng,,,,,,,,,,,,,,,,,,,,,,,
61,22557272,eng,,,,,,,,,,,,,,,,,,,,,,,
62,119322,eng,,,,,,,,,,,,,,,,,,,,,,,
63,6185,eng,,,,,,,,,,,,,,,,,,,,,,,
64,10917,eng,,,,,,,,,,,,,,,,,,,,,,,
65,4981,eng,,,,,,,,,,,,,,,,,,,,,,,
66,18405,eng,,,,,,,,,,,,,,,,,,,,,,,
67,128029,eng,,,,,,,,,,,,,,,,,,,,,,,
68,22628,eng,,,,,,,,,,,,,,,,,,,,,,,
69,11735983,eng,,,,,,,,,,,,,,,,,,,,,,,
70,375802,eng,,,,,,,,,,,,,,,,,,,,,,,
71,18490,eng,,,,,,,,,,,,,,,,,,,,,,,
72,11588,eng,,,,,,,,,,,,,,,,,,,,,,,
73,1656001,en-US,,,,,,,,,,,,,,,,,,,,,,,
74,99561,eng,,,,,,,,,,,,,,,,,,,,,,,
75,227443,eng,,,,,,,,,,,,,,,,,,,,,,,
76,14935,eng,,,,,,,,,,,,,,,,,,,,,,,
77,38709,eng,,,,,,,,,,,,,,,,,,,,,,,
